symbol,token,sign,step
NIFTY17FEB2216800CE,52857,1,-200
NIFTY17FEB2216800PE,52862,-1,-200
NIFTY17FEB2217000PE,52888,1,-200
NIFTY17FEB2217000CE,52887,-1,-200
